SMILES0,SMILES,gamma1,gamma2
Oc1cc(C)cc(O)c1,OC(C)C(O)=O,-1.5931019,-0.3996093
Oc1cc(C)cc(O)c1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.79608283,0.88887182
Oc1cc(C)cc(O)c1,OCC(O)C,-5.01575504,-1.35173965
Oc1cc(C)cc(O)c1,O=C1CCO1,-2.96855154,-0.69305936
Oc1cc(C)cc(O)c1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-3.28057067,-0.71695825
Oc1cc(C)cc(O)c1,CCOCC,-7.65083956,-1.8917475
Oc1cc(C)cc(O)c1,OCC,-6.17638626,-1.55275019
Oc1cc(C)cc(O)c1,CCCCCC=O,-4.27556539,-1.09669436
Oc1cc(C)cc(O)c1,CO,-6.40387571,-1.56593583
Oc1cc(C)cc(O)c1,OC(C)C,-6.21251353,-1.60146769
Oc1cc(C)cc(O)c1,CC(C)=O,-7.9628672,-2.14564159
Oc1cc(C)cc(O)c1,OCCC,-5.30109148,-1.34062685
Oc1cc(C)cc(O)c1,OCCCC,-5.21125781,-1.32816064
Oc1cc(C)cc(O)c1,OCCCCC,-4.92684573,-1.26278946
Oc1cc(C)cc(O)c1,CC1OC1,-6.85873624,-1.74218665
Oc1cc(C)cc(O)c1,CCC(C)(C)C,8.09900326,1.22297446
Oc1cc(C)cc(O)c1,CC(C)(C)C(C)=O,-6.18613085,-1.66558083
Oc1cc(C)cc(O)c1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-5.28201894,-1.33122755
Oc1cc(C)cc(O)c1,COC(C)(C)OC,-7.34605746,-2.03716978
Oc1cc(C)cc(O)c1,CCC1(CC)CCCCC1,8.02272794,1.30902036
Oc1cc(C)cc(O)c1,CCOC(C)(OCC)OCC,-7.98275621,-2.33414686
Oc1cc(C)cc(O)c1,CC(C)CCCC(O)(C)CC,-5.08612985,-1.37696888
Oc1cc(C)cc(O)c1,CCC(C)C,8.15652273,1.18699449
Oc1cc(C)cc(O)c1,CC(=C)C=C,5.34522027,0.75317599
Oc1cc(C)cc(O)c1,CC(=C)C#C,4.12959599,0.6058493
Oc1cc(C)cc(O)c1,OCC(C)C,-4.46763806,-1.13060039
Oc1cc(C)cc(O)c1,CC(C)C=O,-4.91776482,-1.24962334
Oc1cc(C)cc(O)c1,CC(=C)C=O,-5.30506929,-1.36461312
Oc1cc(C)cc(O)c1,CCC(O)C,-5.41315848,-1.4007326
Oc1cc(C)cc(O)c1,CCC(C)=O,-7.30702305,-1.99557017
Oc1cc(C)cc(O)c1,COC(C)=O,-5.6421735,-1.47849203
Oc1cc(C)cc(O)c1,CC(C)C(C)C,8.12447306,1.2291317
Oc1cc(C)cc(O)c1,CC(C)C(O)=O,-1.62365023,-0.40686477
Oc1cc(C)cc(O)c1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-4.13495619,-1.17760462
Oc1cc(C)cc(O)c1,OOC(C)(C)C(CC1)CCC1C,-0.40041221,-0.10591199
Oc1cc(C)cc(O)c1,CCOC(C(O)(C)C)=O,-6.75839253,-1.85746593
Oc1cc(C)cc(O)c1,COC(=O)C(C)=C,-3.73770081,-0.99648188
Oc1cc(C)cc(O)c1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.50658747,0.10734172
Oc1cc(C)cc(O)c1,COc2cccc3c2C(=O)c1ccccc1C3=O,-4.72463046,-1.15097522
Oc1cc(C)cc(O)c1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-2.77612472,-0.84587831
Oc1cc(C)cc(O)c1,CCOC(=O)c1ccccc1C(OCC)=O,-2.83230627,-0.67442292
Oc1cc(C)cc(O)c1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-2.31295182,-0.56586471
Oc1cc(C)cc(O)c1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-1.66611632,-0.42854533
Oc1cc(C)cc(O)c1,CC(C)CCOC(=O)c1ccccc1O,0.48245488,0.11051036
Oc1cc(C)cc(O)c1,Oc2ccccc2C(OCCc1ccccc1)=O,0.72667047,0.17707828
Oc1cc(C)cc(O)c1,O=C2c1ccccc1CO2,-3.78508832,-0.95082517
Oc1cc(C)cc(O)c1,OCC(O)C(O)C(O)CO,-5.11465973,-1.30603237
Oc1cc(C)cc(O)c1,CCC(CC)C(O)=O,-1.1029394,-0.27551921
Oc1cc(C)cc(O)c1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-2.76963445,-0.72086364
Oc1cc(C)cc(O)c1,COc1cc(C)ccc1C(C)(C)C,5.48205245,0.96129659
Oc1cc(C)cc(O)c1,CC2CCC(CC1=C2CCC1C)=C(C)C,6.18557724,1.16023144
Oc1cc(C)cc(O)c1,COC(=O)c1ccccc1C,-2.09840838,-0.52094395
Oc1cc(C)cc(O)c1,CC(=O)c1ccc(C)cc1C,-5.47924253,-1.4107211
Oc1cc(C)cc(O)c1,Cc2c1ccccc1ccc2,4.85071344,0.8059734
Oc1cc(C)cc(O)c1,O=C2CCCCC2C1CCCCC1,-4.9276976,-1.32202286
Oc1cc(C)cc(O)c1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-4.49725018,-1.20299305
Oc1cc(C)cc(O)c1,CC(C=O)c1ccccc1,-2.3770314,-0.57298315
Oc1cc(C)cc(O)c1,CCC(O)c1ccccc1,-2.53027906,-0.6082001
Oc1cc(C)cc(O)c1,CCOC(=O)c1ccccc1,-2.39823874,-0.63345104
Oc1cc(C)cc(O)c1,CC(OC(C)c2ccccc2)c1ccccc1,-3.40031217,-0.40668079
Oc1cc(C)cc(O)c1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.62154696,-0.1388892
Oc1cc(C)cc(O)c1,CCOC(=O)c(cc1)ccc1C,-2.64190336,-0.70962471
Oc1cc(C)cc(O)c1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-28.52437101,-2.58435961
Oc1cc(C)cc(O)c1,O=C(OCCc1ccccc1)c2ccccc2,-0.88232318,-0.22261383
Oc1cc(C)cc(O)c1,CCCc2cc1OCOc1cc2,2.80110375,0.5477976
Oc1cc(C)cc(O)c1,COC(C1CCC(CC1)C(OC)=O)=O,-4.45545046,-1.07495873
Oc1cc(C)cc(O)c1,CCCC1CCCCC1=O,-5.77632907,-1.60520217
Oc1cc(C)cc(O)c1,CCOc1ccc(C=CC)cc1O,0.74419419,0.19026628
Oc1cc(C)cc(O)c1,CCCC(O)C(CO)CC,-6.21873821,-1.69986196
Oc1cc(C)cc(O)c1,Cc(ccc1C)cc1C,5.30717825,0.86908445
Oc1cc(C)cc(O)c1,CCOC(=O)C(OCC)=O,-3.41299565,-0.83197174
Oc1cc(C)cc(O)c1,CC1OC(C(C)OC1=O)=O,-1.48348566,-0.34412048
Oc1cc(C)cc(O)c1,CCCCC(=O)C(C)=O,-1.61707208,-0.40105102
Oc1cc(C)cc(O)c1,C=CCOC(=O)C(C)=C,-2.57951326,-0.67335598
Oc1cc(C)cc(O)c1,C1OC1c2ccccc2,-1.59458867,-0.3247452
Oc1cc(C)cc(O)c1,CCC(C)CC,8.1592743,1.23919565
Oc1cc(C)cc(O)c1,CCC(CC)=O,-6.47985611,-1.78249775
Oc1cc(C)cc(O)c1,OCC(CO)=O,-3.75884277,-0.94602289
Oc1cc(C)cc(O)c1,COC(=O)C=C,-3.71929931,-0.97987414
Oc1cc(C)cc(O)c1,COC(CO)=O,-5.27277096,-1.36380845
Oc1cc(C)cc(O)c1,CC1CCCC1,8.13291091,1.21249748
Oc1cc(C)cc(O)c1,CC1CCCO1,-9.80332661,-2.75163107
Oc1cc(C)cc(O)c1,O=C1CCCO1,-6.36592197,-1.63223035
Oc1cc(C)cc(O)c1,CCCC(C)C(O)=O,-1.08024232,-0.27253366
Oc1cc(C)cc(O)c1,CCOC(C(C)C)=O,-4.26533939,-1.14002435
Oc1cc(C)cc(O)c1,CCOC(=O)C(C)=C,-3.90381861,-1.04660315
Oc1cc(C)cc(O)c1,CCOC(C(O)C)=O,-6.362856,-1.7291006
Oc1cc(C)cc(O)c1,CC(C)C(OC(C(C)C)=O)=O,-1.72811621,-0.42349423
Oc1cc(C)cc(O)c1,CC(C)COC(C(C)C)=O,-3.72810328,-1.01758325
Oc1cc(C)cc(O)c1,CC(C)COC(=O)C(C)=C,-3.21590764,-0.87844144
Oc1cc(C)cc(O)c1,CCCCOC(C(C)C)=O,-3.60331417,-0.98409615
