SMILES0,SMILES,gamma1,gamma2
Oc1cc(O)cc(O)c1,OC(C)C(O)=O,-3.19867497,-0.78615556
Oc1cc(O)cc(O)c1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,8.07043179,1.48474091
Oc1cc(O)cc(O)c1,OCC(O)C,-8.55431122,-2.23218943
Oc1cc(O)cc(O)c1,O=C1CCO1,-5.13068876,-1.25578004
Oc1cc(O)cc(O)c1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-4.52168967,-1.10881684
Oc1cc(O)cc(O)c1,CCOCC,-11.23089901,-2.23685306
Oc1cc(O)cc(O)c1,OCC,-10.02563031,-2.19944205
Oc1cc(O)cc(O)c1,CCCCCC=O,-6.08679024,-1.41519718
Oc1cc(O)cc(O)c1,CO,-10.74773893,-2.33602294
Oc1cc(O)cc(O)c1,OC(C)C,-9.86294756,-2.18745038
Oc1cc(O)cc(O)c1,CC(C)=O,-11.83144543,-3.06043676
Oc1cc(O)cc(O)c1,OCCC,-8.49403095,-1.8522636
Oc1cc(O)cc(O)c1,OCCCC,-8.25389653,-1.77955281
Oc1cc(O)cc(O)c1,OCCCCC,-7.75526172,-1.66389431
Oc1cc(O)cc(O)c1,CC1OC1,-10.00299234,-2.30059057
Oc1cc(O)cc(O)c1,CCC(C)(C)C,12.79497665,1.88081979
Oc1cc(O)cc(O)c1,CC(C)(C)C(C)=O,-9.00447478,-2.23388438
Oc1cc(O)cc(O)c1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-7.65242859,-1.5788303
Oc1cc(O)cc(O)c1,COC(C)(C)OC,-10.76686239,-2.72420313
Oc1cc(O)cc(O)c1,CCC1(CC)CCCCC1,12.68652136,2.01685687
Oc1cc(O)cc(O)c1,CCOC(C)(OCC)OCC,-11.78771376,-3.56461067
Oc1cc(O)cc(O)c1,CC(C)CCCC(O)(C)CC,-7.77740634,-1.69326481
Oc1cc(O)cc(O)c1,CCC(C)C,12.89749926,1.82853707
Oc1cc(O)cc(O)c1,CC(=C)C=C,8.93803949,1.25598549
Oc1cc(O)cc(O)c1,CC(=C)C#C,7.14095547,1.03554573
Oc1cc(O)cc(O)c1,OCC(C)C,-7.07413073,-1.50133527
Oc1cc(O)cc(O)c1,CC(C)C=O,-7.04080467,-1.6419086
Oc1cc(O)cc(O)c1,CC(=C)C=O,-7.75480948,-1.86186233
Oc1cc(O)cc(O)c1,CCC(O)C,-8.48738097,-1.86754864
Oc1cc(O)cc(O)c1,CCC(C)=O,-10.76762585,-2.78294613
Oc1cc(O)cc(O)c1,COC(C)=O,-8.25365406,-2.09524
Oc1cc(O)cc(O)c1,CC(C)C(C)C,12.83658216,1.89078056
Oc1cc(O)cc(O)c1,CC(C)C(O)=O,-2.41999215,-0.55853321
Oc1cc(O)cc(O)c1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-5.84319419,-1.5675794
Oc1cc(O)cc(O)c1,OOC(C)(C)C(CC1)CCC1C,-0.31326167,-0.03332553
Oc1cc(O)cc(O)c1,CCOC(C(O)(C)C)=O,-9.99962765,-2.42544464
Oc1cc(O)cc(O)c1,COC(=O)C(C)=C,-5.21717929,-1.31499336
Oc1cc(O)cc(O)c1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.77378133,0.39697797
Oc1cc(O)cc(O)c1,COc2cccc3c2C(=O)c1ccccc1C3=O,-7.07085868,-1.71344746
Oc1cc(O)cc(O)c1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-4.03158954,-0.98332617
Oc1cc(O)cc(O)c1,CCOC(=O)c1ccccc1C(OCC)=O,-3.89434139,-0.95676221
Oc1cc(O)cc(O)c1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-2.9705501,-0.75436267
Oc1cc(O)cc(O)c1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-1.945792,-0.55391696
Oc1cc(O)cc(O)c1,CC(C)CCOC(=O)c1ccccc1O,1.38034013,0.3699777
Oc1cc(O)cc(O)c1,Oc2ccccc2C(OCCc1ccccc1)=O,1.69512497,0.44788104
Oc1cc(O)cc(O)c1,O=C2c1ccccc1CO2,-5.9185005,-1.47660615
Oc1cc(O)cc(O)c1,OCC(O)C(O)C(O)CO,-8.53116056,-2.31075664
Oc1cc(O)cc(O)c1,CCC(CC)C(O)=O,-1.4952445,-0.31746977
Oc1cc(O)cc(O)c1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-4.0167015,-0.85823428
Oc1cc(O)cc(O)c1,COc1cc(C)ccc1C(C)(C)C,9.12411494,1.58645661
Oc1cc(O)cc(O)c1,CC2CCC(CC1=C2CCC1C)=C(C)C,9.98123082,1.84506274
Oc1cc(O)cc(O)c1,COC(=O)c1ccccc1C,-2.71991076,-0.57313664
Oc1cc(O)cc(O)c1,CC(=O)c1ccc(C)cc1C,-7.96648451,-1.77413081
Oc1cc(O)cc(O)c1,Cc2c1ccccc1ccc2,8.13161867,1.34097585
Oc1cc(O)cc(O)c1,O=C2CCCCC2C1CCCCC1,-7.12928722,-1.73069033
Oc1cc(O)cc(O)c1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-6.61946683,-1.75352751
Oc1cc(O)cc(O)c1,CC(C=O)c1ccccc1,-3.27599421,-0.68206238
Oc1cc(O)cc(O)c1,CCC(O)c1ccccc1,-3.64025474,-0.69015604
Oc1cc(O)cc(O)c1,CCOC(=O)c1ccccc1,-3.18426399,-0.77369226
Oc1cc(O)cc(O)c1,CC(OC(C)c2ccccc2)c1ccccc1,-4.77335754,-0.11968754
Oc1cc(O)cc(O)c1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.50937899,-0.12238702
Oc1cc(O)cc(O)c1,CCOC(=O)c(cc1)ccc1C,-3.52661983,-0.87673055
Oc1cc(O)cc(O)c1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-43.65859908,-3.85710365
Oc1cc(O)cc(O)c1,O=C(OCCc1ccccc1)c2ccccc2,-0.85181282,-0.17065397
Oc1cc(O)cc(O)c1,CCCc2cc1OCOc1cc2,4.97597938,0.97888487
Oc1cc(O)cc(O)c1,COC(C1CCC(CC1)C(OC)=O)=O,-6.37402398,-1.6591574
Oc1cc(O)cc(O)c1,CCCC1CCCCC1=O,-8.39151793,-2.14498681
Oc1cc(O)cc(O)c1,CCOc1ccc(C=CC)cc1O,1.77922756,0.48884545
Oc1cc(O)cc(O)c1,CCCC(O)C(CO)CC,-9.6497651,-2.41744148
Oc1cc(O)cc(O)c1,Cc(ccc1C)cc1C,8.84020044,1.44039338
Oc1cc(O)cc(O)c1,CCOC(=O)C(OCC)=O,-4.81285016,-1.15907983
Oc1cc(O)cc(O)c1,CC1OC(C(C)OC1=O)=O,-2.69642751,-0.65509312
Oc1cc(O)cc(O)c1,CCCCC(=O)C(C)=O,-1.93936613,-0.45585384
Oc1cc(O)cc(O)c1,C=CCOC(=O)C(C)=C,-3.44847261,-0.80854995
Oc1cc(O)cc(O)c1,C1OC1c2ccccc2,-2.10988982,-0.30782468
Oc1cc(O)cc(O)c1,CCC(C)CC,12.89338082,1.9072774
Oc1cc(O)cc(O)c1,CCC(CC)=O,-9.44543937,-2.41724624
Oc1cc(O)cc(O)c1,OCC(CO)=O,-7.17226131,-1.90230531
Oc1cc(O)cc(O)c1,COC(=O)C=C,-5.31902579,-1.34552457
Oc1cc(O)cc(O)c1,COC(CO)=O,-8.52695855,-2.17303991
Oc1cc(O)cc(O)c1,CC1CCCC1,12.82478191,1.8586639
Oc1cc(O)cc(O)c1,CC1CCCO1,-14.56541039,-3.37332633
Oc1cc(O)cc(O)c1,O=C1CCCO1,-9.74163901,-2.55846041
Oc1cc(O)cc(O)c1,CCCC(C)C(O)=O,-1.45036397,-0.31415327
Oc1cc(O)cc(O)c1,CCOC(C(C)C)=O,-5.98062322,-1.50443659
Oc1cc(O)cc(O)c1,CCOC(=O)C(C)=C,-5.43590009,-1.34398064
Oc1cc(O)cc(O)c1,CCOC(C(O)C)=O,-9.46332086,-2.34684106
Oc1cc(O)cc(O)c1,CC(C)C(OC(C(C)C)=O)=O,-2.06030375,-0.50266436
Oc1cc(O)cc(O)c1,CC(C)COC(C(C)C)=O,-5.19457954,-1.32084713
Oc1cc(O)cc(O)c1,CC(C)COC(=O)C(C)=C,-4.38411899,-1.10281303
Oc1cc(O)cc(O)c1,CCCCOC(C(C)C)=O,-4.99597318,-1.27924182
Oc1cc(O)cc(O)c1,CCCCOC(=O)C(C)=C,-4.70232573,-1.18100256
Oc1cc(O)cc(O)c1,CCC(CC)C=O,-5.69023361,-1.28605691
