SMILES0,SMILES,gamma1,gamma2
Oc1cc(O)ccc1,OC(C)C(O)=O,-1.91356619,-0.47752197
Oc1cc(O)ccc1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.97667173,0.94179116
Oc1cc(O)ccc1,OCC(O)C,-5.36020424,-1.45132431
Oc1cc(O)ccc1,O=C1CCO1,-3.46406184,-0.83976864
Oc1cc(O)ccc1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-3.34996033,-0.73614819
Oc1cc(O)ccc1,CCOCC,-7.71479109,-1.92204074
Oc1cc(O)ccc1,OCC,-6.44207647,-1.62944012
Oc1cc(O)ccc1,CCCCCC=O,-4.31858427,-1.11964581
Oc1cc(O)ccc1,CO,-6.80846105,-1.68396311
Oc1cc(O)ccc1,OC(C)C,-6.40860738,-1.66102573
Oc1cc(O)ccc1,CC(C)=O,-8.21732786,-2.24007339
Oc1cc(O)ccc1,OCCC,-5.47493227,-1.39111994
Oc1cc(O)ccc1,OCCCC,-5.35054986,-1.37055322
Oc1cc(O)ccc1,OCCCCC,-5.03717784,-1.30047792
Oc1cc(O)ccc1,CC1OC1,-7.00949243,-1.79978187
Oc1cc(O)ccc1,CCC(C)(C)C,8.54297009,1.35286914
Oc1cc(O)ccc1,CC(C)(C)C(C)=O,-6.2840243,-1.71043498
Oc1cc(O)ccc1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-5.33241307,-1.36788816
Oc1cc(O)ccc1,COC(C)(C)OC,-7.4417377,-2.08867914
Oc1cc(O)ccc1,CCC1(CC)CCCCC1,8.44681276,1.42339606
Oc1cc(O)ccc1,CCOC(C)(OCC)OCC,-8.11059245,-2.41346453
Oc1cc(O)ccc1,CC(C)CCCC(O)(C)CC,-5.14886989,-1.42470906
Oc1cc(O)ccc1,CCC(C)C,8.61058517,1.32219861
Oc1cc(O)ccc1,CC(=C)C=C,5.65945033,0.852963
Oc1cc(O)ccc1,CC(=C)C#C,4.37539659,0.67944569
Oc1cc(O)ccc1,OCC(C)C,-4.57136081,-1.16246347
Oc1cc(O)ccc1,CC(C)C=O,-5.00215891,-1.28135948
Oc1cc(O)ccc1,CC(=C)C=O,-5.48401159,-1.42301559
Oc1cc(O)ccc1,CCC(O)C,-5.54012128,-1.44330506
Oc1cc(O)ccc1,CCC(C)=O,-7.48920077,-2.06585146
Oc1cc(O)ccc1,COC(C)=O,-5.8341401,-1.54460141
Oc1cc(O)ccc1,CC(C)C(C)C,8.56807345,1.3589279
Oc1cc(O)ccc1,CC(C)C(O)=O,-1.64441164,-0.41287951
Oc1cc(O)ccc1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-4.17444118,-1.22268547
Oc1cc(O)ccc1,OOC(C)(C)C(CC1)CCC1C,-0.27911341,-0.08604555
Oc1cc(O)ccc1,CCOC(C(O)(C)C)=O,-6.90322476,-1.9110442
Oc1cc(O)ccc1,COC(=O)C(C)=C,-3.81161653,-1.02590231
Oc1cc(O)ccc1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.60880708,0.13890126
Oc1cc(O)ccc1,COc2cccc3c2C(=O)c1ccccc1C3=O,-5.02592149,-1.22339774
Oc1cc(O)ccc1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-2.76002607,-0.90022769
Oc1cc(O)ccc1,CCOC(=O)c1ccccc1C(OCC)=O,-2.95278215,-0.70317188
Oc1cc(O)ccc1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-2.33540444,-0.58438061
Oc1cc(O)ccc1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-1.63659296,-0.44625524
Oc1cc(O)ccc1,CC(C)CCOC(=O)c1ccccc1O,0.5856292,0.13281997
Oc1cc(O)ccc1,Oc2ccccc2C(OCCc1ccccc1)=O,0.74732875,0.18568765
Oc1cc(O)ccc1,O=C2c1ccccc1CO2,-4.13992241,-1.04368751
Oc1cc(O)ccc1,OCC(O)C(O)C(O)CO,-5.50644979,-1.40530009
Oc1cc(O)ccc1,CCC(CC)C(O)=O,-1.04873472,-0.26378914
Oc1cc(O)ccc1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-2.8024123,-0.74831355
Oc1cc(O)ccc1,COc1cc(C)ccc1C(C)(C)C,5.78752187,1.0463391
Oc1cc(O)ccc1,CC2CCC(CC1=C2CCC1C)=C(C)C,6.52372458,1.24708359
Oc1cc(O)ccc1,COC(=O)c1ccccc1C,-2.14442294,-0.5345248
Oc1cc(O)ccc1,CC(=O)c1ccc(C)cc1C,-5.61620107,-1.45905964
Oc1cc(O)ccc1,Cc2c1ccccc1ccc2,5.06179649,0.87518706
Oc1cc(O)ccc1,O=C2CCCCC2C1CCCCC1,-4.96040022,-1.35773513
Oc1cc(O)ccc1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-4.73352756,-1.27460552
Oc1cc(O)ccc1,CC(C=O)c1ccccc1,-2.48744009,-0.60028979
Oc1cc(O)ccc1,CCC(O)c1ccccc1,-2.58108294,-0.62317986
Oc1cc(O)ccc1,CCOC(=O)c1ccccc1,-2.45522048,-0.65594718
Oc1cc(O)ccc1,CC(OC(C)c2ccccc2)c1ccccc1,-3.49016554,-0.41096708
Oc1cc(O)ccc1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.72666644,-0.16542638
Oc1cc(O)ccc1,CCOC(=O)c(cc1)ccc1C,-2.68015086,-0.73178866
Oc1cc(O)ccc1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-29.3780749,-2.65546667
Oc1cc(O)ccc1,O=C(OCCc1ccccc1)c2ccccc2,-0.92708059,-0.23886979
Oc1cc(O)ccc1,CCCc2cc1OCOc1cc2,2.97310221,0.60106502
Oc1cc(O)ccc1,COC(C1CCC(CC1)C(OC)=O)=O,-4.58228451,-1.10583478
Oc1cc(O)ccc1,CCCC1CCCCC1=O,-5.83956573,-1.65032277
Oc1cc(O)ccc1,CCOc1ccc(C=CC)cc1O,0.84646287,0.21955421
Oc1cc(O)ccc1,CCCC(O)C(CO)CC,-6.390733,-1.7683808
Oc1cc(O)ccc1,Cc(ccc1C)cc1C,5.59751824,0.95949861
Oc1cc(O)ccc1,CCOC(=O)C(OCC)=O,-3.56864773,-0.86588912
Oc1cc(O)ccc1,CC1OC(C(C)OC1=O)=O,-1.83167386,-0.42936182
Oc1cc(O)ccc1,CCCCC(=O)C(C)=O,-1.6144999,-0.39888802
Oc1cc(O)ccc1,C=CCOC(=O)C(C)=C,-2.62280313,-0.69076348
Oc1cc(O)ccc1,C1OC1c2ccccc2,-1.70625113,-0.34448833
Oc1cc(O)ccc1,CCC(C)CC,8.60260541,1.36821448
