SMILES0,SMILES,gamma1,gamma2
Oc1ccc(C=O)cc1O,OC(C)C(O)=O,-0.02318298,-0.01042122
Oc1ccc(C=O)cc1O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,7.12933136,1.08435565
Oc1ccc(C=O)cc1O,OCC(O)C,-2.37228398,-0.6301353
Oc1ccc(C=O)cc1O,O=C1CCO1,-0.0613746,-0.03945944
Oc1ccc(C=O)cc1O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.11130625,-0.02989953
Oc1ccc(C=O)cc1O,CCOCC,-4.07060156,-0.91386716
Oc1ccc(C=O)cc1O,OCC,-3.40180506,-0.84617008
Oc1ccc(C=O)cc1O,CCCCCC=O,-1.02858533,-0.2560557
Oc1ccc(C=O)cc1O,CO,-3.72494013,-0.90359392
Oc1ccc(C=O)cc1O,OC(C)C,-3.30922644,-0.83637103
Oc1ccc(C=O)cc1O,CC(C)=O,-4.67861055,-1.19158352
Oc1ccc(C=O)cc1O,OCCC,-2.5622453,-0.63957125
Oc1ccc(C=O)cc1O,OCCCC,-2.39709226,-0.60199296
Oc1ccc(C=O)cc1O,OCCCCC,-2.09365666,-0.52901206
Oc1ccc(C=O)cc1O,CC1OC1,-3.60123263,-0.8535932
Oc1ccc(C=O)cc1O,CCC(C)(C)C,11.01234778,1.3733195
Oc1ccc(C=O)cc1O,CC(C)(C)C(C)=O,-2.81950981,-0.7084306
Oc1ccc(C=O)cc1O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-1.86499235,-0.4015713
Oc1ccc(C=O)cc1O,COC(C)(C)OC,-3.81796438,-0.98912504
Oc1ccc(C=O)cc1O,CCC1(CC)CCCCC1,10.96189573,1.48683878
Oc1ccc(C=O)cc1O,CCOC(C)(OCC)OCC,-4.45008586,-1.21626813
Oc1ccc(C=O)cc1O,CC(C)CCCC(O)(C)CC,-1.99646104,-0.53209909
Oc1ccc(C=O)cc1O,CCC(C)C,11.07211388,1.32779565
Oc1ccc(C=O)cc1O,CC(=C)C=C,7.85568287,0.88042868
Oc1ccc(C=O)cc1O,CC(=C)C#C,5.84285782,0.66142662
Oc1ccc(C=O)cc1O,OCC(C)C,-1.82481638,-0.45618781
Oc1ccc(C=O)cc1O,CC(C)C=O,-1.67107263,-0.4235908
Oc1ccc(C=O)cc1O,CC(=C)C=O,-2.23464674,-0.55843477
Oc1ccc(C=O)cc1O,CCC(O)C,-2.5532937,-0.64119179
Oc1ccc(C=O)cc1O,CCC(C)=O,-3.98918706,-1.02518845
Oc1ccc(C=O)cc1O,COC(C)=O,-2.40193676,-0.61539763
Oc1ccc(C=O)cc1O,CC(C)C(C)C,11.04298264,1.37986393
Oc1ccc(C=O)cc1O,CC(C)C(O)=O,0.0768291,0.02056052
Oc1ccc(C=O)cc1O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.93977486,-0.28608757
Oc1ccc(C=O)cc1O,OOC(C)(C)C(CC1)CCC1C,1.54763114,0.37128792
Oc1ccc(C=O)cc1O,CCOC(C(O)(C)C)=O,-3.44291281,-0.90771957
Oc1ccc(C=O)cc1O,COC(=O)C(C)=C,-0.60596912,-0.20282762
Oc1ccc(C=O)cc1O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.21865331,0.61704619
Oc1ccc(C=O)cc1O,COc2cccc3c2C(=O)c1ccccc1C3=O,-1.91039224,-0.44471998
Oc1ccc(C=O)cc1O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.05717243,-0.10861343
