SMILES0,SMILES,gamma1,gamma2
Oc1ccc(O)cc1,OC(C)C(O)=O,-1.27068434,-0.31518074
Oc1ccc(O)cc1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.66121464,1.02722262
Oc1ccc(O)cc1,OCC(O)C,-4.16035991,-1.10613684
Oc1ccc(O)cc1,O=C1CCO1,-2.45580694,-0.58988601
Oc1ccc(O)cc1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-2.22108542,-0.48061743
Oc1ccc(O)cc1,CCOCC,-6.24499048,-1.48200776
Oc1ccc(O)cc1,OCC,-5.11500926,-1.25831723
Oc1ccc(O)cc1,CCCCCC=O,-3.08816064,-0.76898996
Oc1ccc(O)cc1,CO,-5.5051475,-1.32967122
Oc1ccc(O)cc1,OC(C)C,-5.05214486,-1.26899907
Oc1ccc(O)cc1,CC(C)=O,-6.90541924,-1.82611006
Oc1ccc(O)cc1,OCCC,-4.18060067,-1.030088
Oc1ccc(O)cc1,OCCCC,-4.03237331,-0.99951032
Oc1ccc(O)cc1,OCCCCC,-3.71182546,-0.92648001
Oc1ccc(O)cc1,CC1OC1,-5.70925006,-1.4137235
Oc1ccc(O)cc1,CCC(C)(C)C,9.28337514,1.4094668
Oc1ccc(O)cc1,CC(C)(C)C(C)=O,-4.96651976,-1.30026337
Oc1ccc(O)cc1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-3.91097458,-0.95509519
Oc1ccc(O)cc1,COC(C)(C)OC,-6.03313088,-1.62954682
Oc1ccc(O)cc1,CCC1(CC)CCCCC1,9.18827339,1.48585353
Oc1ccc(O)cc1,CCOC(C)(OCC)OCC,-6.6053942,-1.90505145
Oc1ccc(O)cc1,CC(C)CCCC(O)(C)CC,-3.72106592,-0.99829941
Oc1ccc(O)cc1,CCC(C)C,9.35247424,1.37668986
Oc1ccc(O)cc1,CC(=C)C=C,6.37586766,0.91742944
Oc1ccc(O)cc1,CC(=C)C#C,4.91532384,0.73431463
Oc1ccc(O)cc1,OCC(C)C,-3.3129647,-0.81470197
Oc1ccc(O)cc1,CC(C)C=O,-3.7898243,-0.94043364
Oc1ccc(O)cc1,CC(=C)C=O,-4.27334878,-1.07418707
Oc1ccc(O)cc1,CCC(O)C,-4.20990243,-1.05947395
Oc1ccc(O)cc1,CCC(C)=O,-6.17429249,-1.64535615
Oc1ccc(O)cc1,COC(C)=O,-4.63596867,-1.19222946
Oc1ccc(O)cc1,CC(C)C(C)C,9.3096646,1.41567366
Oc1ccc(O)cc1,CC(C)C(O)=O,-0.94663949,-0.23504714
Oc1ccc(O)cc1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-2.87937408,-0.82739485
Oc1ccc(O)cc1,OOC(C)(C)C(CC1)CCC1C,0.54165942,0.11876649
Oc1ccc(O)cc1,CCOC(C(O)(C)C)=O,-5.53570982,-1.48491783
Oc1ccc(O)cc1,COC(=O)C(C)=C,-2.65641088,-0.6963079
Oc1ccc(O)cc1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.44748438,0.31496825
Oc1ccc(O)cc1,COc2cccc3c2C(=O)c1ccccc1C3=O,-3.80504349,-0.90279138
Oc1ccc(O)cc1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-1.43021757,-0.5228088
