SMILES0,SMILES,gamma1,gamma2
Oc1cccc(O)c1O,OC(C)C(O)=O,-2.44797907,-0.62672239
Oc1cccc(O)c1O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.48041549,0.69192426
Oc1cccc(O)c1O,OCC(O)C,-6.65842515,-1.81895179
Oc1cccc(O)c1O,O=C1CCO1,-4.40012062,-1.08969029
Oc1cccc(O)c1O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-4.71729645,-1.07375639
Oc1cccc(O)c1O,CCOCC,-9.679817,-2.48872238
Oc1cccc(O)c1O,OCC,-8.03310017,-1.99251509
Oc1cccc(O)c1O,CCCCCC=O,-5.91306861,-1.63169343
Oc1cccc(O)c1O,CO,-8.30589678,-1.99044822
Oc1cccc(O)c1O,OC(C)C,-8.07928609,-2.07309951
Oc1cccc(O)c1O,CC(C)=O,-9.87254878,-2.77974495
Oc1cccc(O)c1O,OCCC,-7.05948702,-1.77673
Oc1cccc(O)c1O,OCCCC,-6.98002593,-1.77698473
Oc1cccc(O)c1O,OCCCCC,-6.67406166,-1.71759872
Oc1cccc(O)c1O,CC1OC1,-8.66086587,-2.31453909
Oc1cccc(O)c1O,CCC(C)(C)C,6.42236739,1.12201728
Oc1cccc(O)c1O,CC(C)(C)C(C)=O,-8.01901559,-2.29044831
Oc1cccc(O)c1O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-6.95538144,-1.85869907
Oc1cccc(O)c1O,COC(C)(C)OC,-9.27011179,-2.68930084
Oc1cccc(O)c1O,CCC1(CC)CCCCC1,6.34533166,1.16872789
Oc1cccc(O)c1O,CCOC(C)(OCC)OCC,-10.00247973,-3.03587318
Oc1cccc(O)c1O,CC(C)CCCC(O)(C)CC,-6.89853172,-1.9006592
Oc1cccc(O)c1O,CCC(C)C,6.46567289,1.09830018
Oc1cccc(O)c1O,CC(=C)C=C,3.99321541,0.65516087
Oc1cccc(O)c1O,CC(=C)C#C,3.10492768,0.52075963
Oc1cccc(O)c1O,OCC(C)C,-6.11540057,-1.54762058
Oc1cccc(O)c1O,CC(C)C=O,-6.5675964,-1.77419901
Oc1cccc(O)c1O,CC(=C)C=O,-6.98681565,-1.90159924
Oc1cccc(O)c1O,CCC(O)C,-7.18828241,-1.86887174
Oc1cccc(O)c1O,CCC(C)=O,-9.18976381,-2.63761279
Oc1cccc(O)c1O,COC(C)=O,-7.2386125,-2.00314188
Oc1cccc(O)c1O,CC(C)C(C)C,6.43889479,1.12691767
Oc1cccc(O)c1O,CC(C)C(O)=O,-2.65763754,-0.68317016
Oc1cccc(O)c1O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-5.816514,-1.75118818
Oc1cccc(O)c1O,OOC(C)(C)C(CC1)CCC1C,-1.54205595,-0.43347085
Oc1cccc(O)c1O,CCOC(C(O)(C)C)=O,-8.4344709,-2.37480661
Oc1cccc(O)c1O,COC(=O)C(C)=C,-5.26322379,-1.497814
Oc1cccc(O)c1O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.2135706,-0.08425738
Oc1cccc(O)c1O,COc2cccc3c2C(=O)c1ccccc1C3=O,-6.31144454,-1.60127868
Oc1cccc(O)c1O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-4.32764469,-1.32459084
Oc1cccc(O)c1O,CCOC(=O)c1ccccc1C(OCC)=O,-4.25723518,-1.08444974
Oc1cccc(O)c1O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-3.76442183,-0.9927785
Oc1cccc(O)c1O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-3.12118957,-0.8524681
Oc1cccc(O)c1O,CC(C)CCOC(=O)c1ccccc1O,-0.74605702,-0.23339064
Oc1cccc(O)c1O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.41554981,-0.12805001
Oc1cccc(O)c1O,O=C2c1ccccc1CO2,-5.2883412,-1.40200855
Oc1cccc(O)c1O,OCC(O)C(O)C(O)CO,-6.48285967,-1.70087573
Oc1cccc(O)c1O,CCC(CC)C(O)=O,-2.15449364,-0.56014945
Oc1cccc(O)c1O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-4.07356475,-1.08778161
Oc1cccc(O)c1O,COc1cc(C)ccc1C(C)(C)C,4.08842914,0.78629118
Oc1cccc(O)c1O,CC2CCC(CC1=C2CCC1C)=C(C)C,4.6763586,0.95331717
Oc1cccc(O)c1O,COC(=O)c1ccccc1C,-3.50824598,-0.94833039
Oc1cccc(O)c1O,CC(=O)c1ccc(C)cc1C,-7.22285306,-1.97341336
Oc1cccc(O)c1O,Cc2c1ccccc1ccc2,3.53886629,0.65545779
Oc1cccc(O)c1O,O=C2CCCCC2C1CCCCC1,-6.72368238,-1.93325564
Oc1cccc(O)c1O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-6.02316529,-1.67857606
Oc1cccc(O)c1O,CC(C=O)c1ccccc1,-3.78023219,-0.9902948
Oc1cccc(O)c1O,CCC(O)c1ccccc1,-3.76278197,-0.9407346
Oc1cccc(O)c1O,CCOC(=O)c1ccccc1,-3.85286292,-1.09916765
Oc1cccc(O)c1O,CC(OC(C)c2ccccc2)c1ccccc1,-4.77789428,-0.75936677
Oc1cccc(O)c1O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-1.8623037,-0.48400242
Oc1cccc(O)c1O,CCOC(=O)c(cc1)ccc1C,-4.15052558,-1.20469658
Oc1cccc(O)c1O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-33.44380814,-3.00009033
Oc1cccc(O)c1O,O=C(OCCc1ccccc1)c2ccccc2,-2.20918913,-0.62273085
Oc1cccc(O)c1O,CCCc2cc1OCOc1cc2,1.71984925,0.34650594
Oc1cccc(O)c1O,COC(C1CCC(CC1)C(OC)=O)=O,-5.96340562,-1.50791819
Oc1cccc(O)c1O,CCCC1CCCCC1=O,-7.62892579,-2.24902673
Oc1cccc(O)c1O,CCOc1ccc(C=CC)cc1O,-0.19901703,-0.04655181
Oc1cccc(O)c1O,CCCC(O)C(CO)CC,-8.07247422,-2.25105204
Oc1cccc(O)c1O,Cc(ccc1C)cc1C,3.9242474,0.72214983
Oc1cccc(O)c1O,CCOC(=O)C(OCC)=O,-4.77009012,-1.22313845
Oc1cccc(O)c1O,CC1OC(C(C)OC1=O)=O,-2.52217405,-0.62118638
Oc1cccc(O)c1O,CCCCC(=O)C(C)=O,-2.91145138,-0.78023357
Oc1cccc(O)c1O,C=CCOC(=O)C(C)=C,-4.03731028,-1.13435445
Oc1cccc(O)c1O,C1OC1c2ccccc2,-2.93288426,-0.68491368
Oc1cccc(O)c1O,CCC(C)CC,6.46348768,1.1336449
Oc1cccc(O)c1O,CCC(CC)=O,-8.32572829,-2.41731704
Oc1cccc(O)c1O,OCC(CO)=O,-5.0603466,-1.31290594
Oc1cccc(O)c1O,COC(=O)C=C,-5.17455779,-1.44516032
Oc1cccc(O)c1O,COC(CO)=O,-6.71084559,-1.78140053
Oc1cccc(O)c1O,CC1CCCC1,6.46244733,1.11885107
Oc1cccc(O)c1O,CC1CCCO1,-12.04344271,-3.42713941
Oc1cccc(O)c1O,O=C1CCCO1,-8.08823547,-2.16727637
Oc1cccc(O)c1O,CCCC(C)C(O)=O,-2.13162157,-0.55989202
Oc1cccc(O)c1O,CCOC(C(C)C)=O,-5.89778062,-1.69146053
Oc1cccc(O)c1O,CCOC(=O)C(C)=C,-5.50740924,-1.58373699
Oc1cccc(O)c1O,CCOC(C(O)C)=O,-7.94828205,-2.21863638
