SMILES0,SMILES,gamma1,gamma2
Oc1ccccc1O,OC(C)C(O)=O,-1.36420611,-0.34314553
Oc1ccccc1O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.87300093,0.56163296
Oc1ccccc1O,OCC(O)C,-4.23367932,-1.12683087
Oc1ccccc1O,O=C1CCO1,-2.86214108,-0.67768375
Oc1ccccc1O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-3.25619945,-0.65739037
Oc1ccccc1O,CCOCC,-6.74594682,-1.89800641
Oc1ccccc1O,OCC,-5.27355468,-1.40233319
Oc1ccccc1O,CCCCCC=O,-4.0457555,-1.11121837
Oc1ccccc1O,CO,-5.41450471,-1.39774872
Oc1ccccc1O,OC(C)C,-5.34271371,-1.46629718
Oc1ccccc1O,CC(C)=O,-7.01722883,-1.93006438
Oc1ccccc1O,OCCC,-4.59067046,-1.23471877
Oc1ccccc1O,OCCCC,-4.54907021,-1.24574384
Oc1ccccc1O,OCCCCC,-4.33714779,-1.20269173
Oc1ccccc1O,CC1OC1,-6.13209806,-1.66918211
Oc1ccccc1O,CCC(C)(C)C,5.53075638,0.96904894
Oc1ccccc1O,CC(C)(C)C(C)=O,-5.59426836,-1.57815274
Oc1ccccc1O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-4.8273126,-1.36084122
Oc1ccccc1O,COC(C)(C)OC,-6.49407209,-1.87957549
Oc1ccccc1O,CCC1(CC)CCCCC1,5.45095209,0.99647104
Oc1ccccc1O,CCOC(C)(OCC)OCC,-7.03210734,-1.91257121
Oc1ccccc1O,CC(C)CCCC(O)(C)CC,-4.56153992,-1.37191657
Oc1ccccc1O,CCC(C)C,5.56843024,0.95195953
Oc1ccccc1O,CC(=C)C=C,3.36803799,0.5570778
Oc1ccccc1O,CC(=C)C#C,2.56704431,0.43561539
Oc1ccccc1O,OCC(C)C,-3.93335444,-1.07505447
Oc1ccccc1O,CC(C)C=O,-4.56603332,-1.23579595
Oc1ccccc1O,CC(=C)C=O,-4.89692271,-1.3236508
Oc1ccccc1O,CCC(O)C,-4.72412598,-1.31103442
Oc1ccccc1O,CCC(C)=O,-6.48778615,-1.8196762
Oc1ccccc1O,COC(C)=O,-5.11117923,-1.37291642
Oc1ccccc1O,CC(C)C(C)C,5.5431439,0.97241845
Oc1ccccc1O,CC(C)C(O)=O,-1.58009706,-0.41288082
Oc1ccccc1O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-3.99411847,-1.16696834
Oc1ccccc1O,OOC(C)(C)C(CC1)CCC1C,-0.72863555,-0.22313844
Oc1ccccc1O,CCOC(C(O)(C)C)=O,-5.93227637,-1.71351647
Oc1ccccc1O,COC(=O)C(C)=C,-3.63967605,-1.00991114
Oc1ccccc1O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.20242088,-0.05632803
Oc1ccccc1O,COc2cccc3c2C(=O)c1ccccc1C3=O,-4.46149857,-1.06671873
Oc1ccccc1O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-2.7907239,-0.94435917
Oc1ccccc1O,CCOC(=O)c1ccccc1C(OCC)=O,-2.94461271,-0.68719718
Oc1ccccc1O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-2.56056157,-0.62244809
Oc1ccccc1O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-2.06198825,-0.51927981
Oc1ccccc1O,CC(C)CCOC(=O)c1ccccc1O,-0.32754531,-0.12009217
Oc1ccccc1O,Oc2ccccc2C(OCCc1ccccc1)=O,-0.1514879,-0.05642988
Oc1ccccc1O,O=C2c1ccccc1CO2,-3.61901634,-0.90878849
Oc1ccccc1O,OCC(O)C(O)C(O)CO,-4.28976018,-1.01451267
Oc1ccccc1O,CCC(CC)C(O)=O,-1.2033416,-0.32321153
Oc1ccccc1O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-2.70219851,-0.76771813
Oc1ccccc1O,COc1cc(C)ccc1C(C)(C)C,3.45010845,0.65559259
Oc1ccccc1O,CC2CCC(CC1=C2CCC1C)=C(C)C,4.01446075,0.80601485
Oc1ccccc1O,COC(=O)c1ccccc1C,-2.36746554,-0.6419217
Oc1ccccc1O,CC(=O)c1ccc(C)cc1C,-5.06791895,-1.41589221
Oc1ccccc1O,Cc2c1ccccc1ccc2,2.95574102,0.54398312
Oc1ccccc1O,O=C2CCCCC2C1CCCCC1,-4.58148566,-1.31040427
Oc1ccccc1O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-4.25335054,-1.1095321
Oc1ccccc1O,CC(C=O)c1ccccc1,-2.5626892,-0.67440413
Oc1ccccc1O,CCC(O)c1ccccc1,-2.50009981,-0.66874638
Oc1ccccc1O,CCOC(=O)c1ccccc1,-2.61293469,-0.727385
Oc1ccccc1O,CC(OC(C)c2ccccc2)c1ccccc1,-3.38901113,-0.68368021
Oc1ccccc1O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-1.22828463,-0.28564993
Oc1ccccc1O,CCOC(=O)c(cc1)ccc1C,-2.81782925,-0.79496254
Oc1ccccc1O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-25.2513836,-2.14160068
Oc1ccccc1O,O=C(OCCc1ccccc1)c2ccccc2,-1.44395454,-0.39412765
Oc1ccccc1O,CCCc2cc1OCOc1cc2,1.51607736,0.30955188
Oc1ccccc1O,COC(C1CCC(CC1)C(OC)=O)=O,-4.17079899,-0.94565
Oc1ccccc1O,CCCC1CCCCC1=O,-5.26961418,-1.53110996
Oc1ccccc1O,CCOc1ccc(C=CC)cc1O,0.02007223,-0.00578966
Oc1ccccc1O,CCCC(O)C(CO)CC,-5.43733991,-1.52246596
Oc1ccccc1O,Cc(ccc1C)cc1C,3.31846167,0.60813325
Oc1ccccc1O,CCOC(=O)C(OCC)=O,-3.34439537,-0.81440093
Oc1ccccc1O,CC1OC(C(C)OC1=O)=O,-1.5180775,-0.34404884
Oc1ccccc1O,CCCCC(=O)C(C)=O,-1.91577805,-0.49269285
Oc1ccccc1O,C=CCOC(=O)C(C)=C,-2.73983378,-0.76303292
Oc1ccccc1O,C1OC1c2ccccc2,-1.95006146,-0.47382073
Oc1ccccc1O,CCC(C)CC,5.56149256,0.9766878
Oc1ccccc1O,CCC(CC)=O,-5.83240549,-1.66557586
Oc1ccccc1O,OCC(CO)=O,-3.12945869,-0.72868621
Oc1ccccc1O,COC(=O)C=C,-3.58682806,-0.97535039
Oc1ccccc1O,COC(CO)=O,-4.5784585,-1.17862722
Oc1ccccc1O,CC1CCCC1,5.57889202,0.97128448
Oc1ccccc1O,CC1CCCO1,-8.47873429,-2.61215013
Oc1ccccc1O,O=C1CCCO1,-5.66893732,-1.43405117
Oc1ccccc1O,CCCC(C)C(O)=O,-1.18817775,-0.32143029
Oc1ccccc1O,CCOC(C(C)C)=O,-4.05878684,-1.13157386
Oc1ccccc1O,CCOC(=O)C(C)=C,-3.79462076,-1.07385265
Oc1ccccc1O,CCOC(C(O)C)=O,-5.59004491,-1.5633136
Oc1ccccc1O,CC(C)C(OC(C(C)C)=O)=O,-2.05634857,-0.51263789
Oc1ccccc1O,CC(C)COC(C(C)C)=O,-3.64906458,-1.04980151
Oc1ccccc1O,CC(C)COC(=O)C(C)=C,-3.26678566,-0.94590199
Oc1ccccc1O,CCCCOC(C(C)C)=O,-3.54557087,-1.01732754
Oc1ccccc1O,CCCCOC(=O)C(C)=C,-3.42556874,-0.98737474
Oc1ccccc1O,CCC(CC)C=O,-3.89041933,-1.06866754
Oc1ccccc1O,OCC1CCCO1,-7.10871387,-2.00010665
Oc1ccccc1O,OCc1occc1,-3.17986495,-0.86204449
Oc1ccccc1O,O=Cc1occc1,-4.09079296,-1.0787829
Oc1ccccc1O,CC(C)(C)c1ccccc1,3.46083499,0.64005657
Oc1ccccc1O,OOC(C)(C)c(cc1)ccc1C(C)C,-0.8913424,-0.24930087
Oc1ccccc1O,CC(C)(C)c(cc1)ccc1C,3.63307103,0.68233011
Oc1ccccc1O,OC1CCC(CC1)C(C)(C)C,-4.32799758,-1.26226849
Oc1ccccc1O,CC(C)(C)C1CCC(CC1)=O,-5.79930143,-1.65087489
Oc1ccccc1O,CC(C)c1ccccc1,3.38253816,0.6176383
Oc1ccccc1O,COC(=O)c(ccc1)cc1C,-2.53932165,-0.70586141
Oc1ccccc1O,OC1CC(CC=C1C)C(C)=C,-3.504905,-1.01444501
Oc1ccccc1O,CC(C)c1cc(C(C)C)ccc1,3.75326092,0.71189217
Oc1ccccc1O,CCCC(CCC)C(O)=O,-0.91330421,-0.2622173
Oc1ccccc1O,CC(C=O)c(cc1)ccc1C,-2.62983308,-0.70238121
Oc1ccccc1O,CC1CCC(C(C)C)CC1,5.54678573,1.02368964
Oc1ccccc1O,CC(C)c(cc1)ccc1C,3.55225445,0.66149413
Oc1ccccc1O,C=CC1CC=CCC1,3.48568492,0.64324595
Oc1ccccc1O,CCc1ccccc1,3.22519023,0.57607595
Oc1ccccc1O,C=Cc1ccccc1,2.85671673,0.50402806
Oc1ccccc1O,OCC1CCCCC1,-3.65142601,-1.03086
Oc1ccccc1O,COc1ccccc1,0.2187122,0.04158316
Oc1ccccc1O,OCC1CCCCO1,-6.4242185,-1.79307857
Oc1ccccc1O,OCC(CO1)OC1(C)C,-5.1003212,-1.31071989
Oc1ccccc1O,Cc1cc(C=C)ccc1,3.00171155,0.54492186
Oc1ccccc1O,COc(ccc1)cc1C,0.23831678,0.04877383
Oc1ccccc1O,COC(=O)Cc1ccccc1,-2.9188808,-0.77100605
Oc1ccccc1O,COC(OC)Cc1ccccc1,-4.24097373,-1.16384517
Oc1ccccc1O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-1.67012302,-0.44595644
Oc1ccccc1O,CC(C)COC(=O)Cc1ccccc1,-2.91655393,-0.81147798
Oc1ccccc1O,O=C(OCc2ccccc2)Cc1ccccc1,-2.25379037,-0.59881352
Oc1ccccc1O,CCc1cc(CC)cc(CC)c1,3.80651191,0.72432922
Oc1ccccc1O,CC(=O)Oc(ccc1)cc1O,-1.06972788,-0.26836406
Oc1ccccc1O,COC(OC)CC(OC)OC,-5.66801637,-1.47461105
Oc1ccccc1O,CCCCC(CC)COC(C)=O,-3.75822538,-1.09755167
Oc1ccccc1O,CCCCC(CC)COC(=O)C=C,-2.60749339,-0.77514553
Oc1ccccc1O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,-3.35728475,-0.79223734
Oc1ccccc1O,COC(CCc1ccccc1)=O,-2.87027898,-0.76615551
Oc1ccccc1O,CC(C)C(OCc1ccccc1)=O,-2.61439548,-0.70394155
Oc1ccccc1O,CCCC(OCc1ccccc1)=O,-2.53146086,-0.67499632
Oc1ccccc1O,CC(C)CC(OCc1ccccc1)=O,-2.25311717,-0.60227672
Oc1ccccc1O,CC(OCCc1ccccc1)=O,-3.38804348,-0.91605302
Oc1ccccc1O,CC(C)C(OCCc1ccccc1)=O,-2.59031446,-0.71290593
Oc1ccccc1O,CC(C)C(OCCOc1ccccc1)=O,-2.27699585,-0.5840815
Oc1ccccc1O,CCCc1ccccc1,3.39095764,0.62232189
Oc1ccccc1O,CC(C)C(=O)Oc(cc1)ccc1C,-2.17642176,-0.5978933
Oc1ccccc1O,CCCc(cc1)ccc1OC,0.49402587,0.11108696
Oc1ccccc1O,CCCCC1OC(CC1)=O,-4.93447956,-1.27769225
Oc1ccccc1O,CCCCc1ccccc1,3.53316206,0.66025432
Oc1ccccc1O,O=COCc1ccccc1,-2.14097238,-0.54754061
Oc1ccccc1O,CCCCCC1OC(CC1)=O,-4.77135741,-1.24096514
Oc1ccccc1O,O=COCCc1ccccc1,-2.26086758,-0.58952097
Oc1ccccc1O,CCCCCCCC1OC(CC1)=O,-4.46464133,-1.17482119
Oc1ccccc1O,CCCCC(CO)CC,-3.1702402,-0.90551557
Oc1ccccc1O,COc(cc1)ccc1C,0.08455423,0.01901259
Oc1ccccc1O,CC(C)COC(CCc1occc1)=O,-2.31324127,-0.64574573
Oc1ccccc1O,CCc1ccc(CC)cc1,3.59253565,0.67080329
Oc1ccccc1O,C=Cc1ccc(C=C)cc1,2.86598818,0.52983466
Oc1ccccc1O,CCCC1OC(CC1)=O,-5.20463771,-1.34755956
Oc1ccccc1O,OCC=C(C)C#C,-2.77198154,-0.75179238
Oc1ccccc1O,CCCC(C)CO,-3.55013873,-1.00201432
Oc1ccccc1O,CCCC(O)C#C,-1.59886658,-0.42419818
Oc1ccccc1O,CCOC(CC)=O,-4.53582776,-1.23186043
Oc1ccccc1O,CCC(OC=C)=O,-1.71647341,-0.44955623
Oc1ccccc1O,CCC(C)CC(C)=O,-5.3347787,-1.51250079
Oc1ccccc1O,CCC(C)CC(O)=O,-1.25615464,-0.339014
Oc1ccccc1O,CCC(C)OC(C)=O,-4.56239589,-1.27926704
Oc1ccccc1O,CCOC(CC(OCC)=O)=O,-3.19574575,-0.73405996
Oc1ccccc1O,CCOC(CCC)=O,-3.89176572,-1.07754287
Oc1ccccc1O,CCOC(C)OCC,-6.30028971,-1.80995621
Oc1ccccc1O,CCOC(OCC)=O,-3.3207679,-0.84296504
Oc1ccccc1O,CCCOC(CCC)=O,-3.90312743,-1.10493684
Oc1ccccc1O,CC(C)CCOC(CC)=O,-3.62570514,-1.03709874
Oc1ccccc1O,CCCCOC(=O)C=CC(OCCCC)=O,-2.44384224,-0.58695298
Oc1ccccc1O,O=C1OCCOC(CCCCCCCCCCC1)=O,-3.30777074,-0.76125868
Oc1ccccc1O,CCCCCCCCCCCC(OCCCC)=O,-2.51041341,-0.81290875
Oc1ccccc1O,OCCC(C)CCCC(C)C,-3.56526438,-1.03666816
Oc1ccccc1O,CC(C)CCOC(CCC)=O,-3.4881645,-1.01393437
Oc1ccccc1O,CCCCCCC(OCC)=O,-3.42966346,-0.97871706
Oc1ccccc1O,CCCC(OC(CCC)=O)=O,-2.17714402,-0.54031976
Oc1ccccc1O,CCCCCCCC(OCC)=O,-3.22635926,-0.94029384
Oc1ccccc1O,CCCCC(CC)=O,-5.30221338,-1.54538148
Oc1ccccc1O,CCCOC(CC)=O,-4.33308805,-1.20903515
Oc1ccccc1O,CC(C)COC(=O)C=C,-3.49620593,-0.98331238
Oc1ccccc1O,CCCCCC(CC)=O,-5.022692,-1.47864787
Oc1ccccc1O,CCCCCC(OC)=O,-3.64775597,-1.01706732
Oc1ccccc1O,CC(CCC=C(C)C)C=O,-3.27930542,-0.90352445
Oc1ccccc1O,CCCCCCC(OC)=O,-3.36150126,-0.95025613
Oc1ccccc1O,CCOCCOC(=O)C=C,-4.75791494,-1.20393234
Oc1ccccc1O,C=CC2CC1OC1CC2,-4.22231194,-1.14666278
Oc1ccccc1O,C1OC1C3CC2OC2CC3,-5.3001841,-1.34263648
Oc1ccccc1O,CCC1OC1,-5.41136638,-1.47631248
Oc1ccccc1O,C=CC(OCC1OC1)=O,-3.25663182,-0.79576805
Oc1ccccc1O,CC(=C)C(OCC1OC1)=O,-3.4957116,-0.86334819
Oc1ccccc1O,C=CCOCC1OC1,-4.74260466,-1.25507321
Oc1ccccc1O,O=CC=C,-4.98520082,-1.33041759
Oc1ccccc1O,OCC=C,-3.79541776,-1.01352901
Oc1ccccc1O,OCC#C,-1.56806624,-0.41047174
Oc1ccccc1O,COC=O,-3.75057313,-0.96320054
Oc1ccccc1O,CC(C)(C)CC(C)=C,4.45058293,0.82549485
Oc1ccccc1O,CC(C)(C)C=C(C)C,4.45455836,0.82773572
Oc1ccccc1O,OC(C)CC(O)(C)C,-6.37549341,-1.77359778
Oc1ccccc1O,COC(C)(C)CC(C)=O,-6.16452665,-1.65198162
Oc1ccccc1O,OCCC(C)CCCC(O)(C)C,-4.73706253,-1.23588469
Oc1ccccc1O,OC(C)(C)CCCC(C)CC=O,-5.57557526,-1.43752398
Oc1ccccc1O,CCCC(C)C,5.57428285,0.98428877
Oc1ccccc1O,CC(C)=CC=O,-7.18116441,-1.96973339
Oc1ccccc1O,CCCC(C)=O,-6.27585375,-1.77507544
Oc1ccccc1O,OCCC(O)C,-6.1109392,-1.66502413
Oc1ccccc1O,COCC(O)C,-6.8092636,-1.91141102
Oc1ccccc1O,CC(OC=C)=O,-2.08787348,-0.54134393
Oc1ccccc1O,CC(C)CC(C)C,5.52860157,0.99312524
